['shall suffer hunger'],"` But we must provide for the winter or else we shall suffer hunger , ' said the Cat .",,
['forest maiden gliding'],"After a few moments there came out of the forest a maiden , gliding over the grass so lightly that her feet seemed scarcely to touch the ground , and stood beside the spring .",,
['eyes maiden life'],"The youth could not turn away his eyes from the maiden , for he had never in his life seen a woman so beautiful .",,
['looked moon walked'],"Without seeming to notice anything , she went to the spring , looked up to the full moon , then knelt down and bathed her face nine times , then looked up to the moon again and walked nine times round the well , and as she walked she sang this song : ` Full-faced moon with light unshaded , Let my beauty ne'er be faded .",,
['cheek grow pale'],Never let my cheek grow pale !,,
['moon waning nightly'],"While the moon is waning nightly , May the maiden bloom more brightly , May her freshness never fail ! '",,
['dried face long'],"Then she dried her face with her long hair , and was about to go away , when her eye suddenly fell upon the spot where the young man was sitting , and she turned towards the tree .",,
['youth rose stood'],The youth rose and stood waiting .,,
['secret doings moonlight'],"Then the maiden said , ` You ought to have a heavy punishment because you have presumed to watch my secret doings in the moonlight .",,
['stranger knew better'],"But I will forgive you this time , because you are a stranger and knew no better .",,
['mortal set foot'],"But you must tell me truly who you are and how you came to this place , where no mortal has ever set foot before . '",,
['maiden unintentionally offended'],"The youth answered humbly : ` Forgive me , beautiful maiden , if I have unintentionally offended you .",,
['place sleep tree'],"I chanced to come here after long wandering , and found a good place to sleep under this tree .",,
['thought silent watching'],"At your coming I did not know what to do , but stayed where I was , because I thought my silent watching could not offend you . '",,
['come spend night'],"The maiden answered kindly , ` Come and spend this night with us .",,
['sleep better pillow'],You will sleep better on a pillow than on damp moss . ',,
['heard birds saying'],"The youth hesitated for a little , but presently he heard the birds saying from the top of the tree , ` Go where she calls you , but take care to give no blood , or you will sell your soul . '",,
['house glittered moonlight'],"So the youth went with her , and soon they reached a beautiful garden , where stood a splendid house , which glittered in the moonlight as if it was all built out of gold and silver .",,
['splendid chambers finer'],"When the youth entered he found many splendid chambers , each one finer than the last .",,
['burnt golden candlesticks'],"Hundreds of tapers burnt upon golden candlesticks , and shed a light like the brightest day .",,
['spread costly dishes'],At length they reached a chamber where a table was spread with the most costly dishes .,,
['chairs silver gold'],"At the table were placed two chairs , one of silver , the other of gold .",,
['chair offered silver'],"The maiden seated herself upon the golden chair , and offered the silver one to her companion .",,
['maidens dressed white'],"They were served by maidens dressed in white , whose feet made no sound as they moved about , and not a word was spoken during the meal .",,
['came remind bedtime'],"Afterwards the youth and the Witch-maiden conversed pleasantly together , until a woman , dressed in red , came in to remind them that it was bedtime .",,
['bed cushions slept'],"The youth was now shown into another room , containing a silken bed with down cushions , where he slept delightfully , yet he seemed to hear a voice near his bed which repeated to him , ` Remember to give no blood ! '",,
['remain young beautiful'],"The next morning the maiden asked him whether he would not like to stay with her always in this beautiful place , and as he did not answer immediately , she continued : ` You see how I always remain young and beautiful , and I am under no one 's orders , but can do just what I like , so that I have never thought of marrying before .",,
['princes great riches'],"But from the moment I saw you I took a fancy to you , so if you agree , we might be married and might live together like princes , because I have great riches . '",,
['witch warning sounded'],"The youth could not but be tempted with the beautiful maiden 's offer , but he remembered how the birds had called her the witch , and their warning always sounded in his ears .",,
['dear maiden decide'],"Therefore he answered cautiously , ` Do not be angry , dear maiden , if I do not decide immediately on this important matter .",,
['days consider come'],Give me a few days to consider before we come to an understanding . ',,
['weeks consider like'],"` Take some weeks to consider if you like , and take counsel with your own heart . '",,
['showed splendid treasures'],"And to make the time pass pleasantly , she took the youth over every part of her beautiful dwelling , and showed him all her splendid treasures .",,
['treasures produced enchantment'],"But these treasures were all produced by enchantment , for the maiden could make anything she wished appear by the help of King Solomon 's signet ring ; only none of these things remained fixed ; they passed away like the wind without leaving a trace behind .",,
['youth did know'],But the youth did not know this ; he thought they were all real .,,
['took secret chamber'],"One day the maiden took him into a secret chamber , where a little gold box was standing on a silver table .",,
['box said greatest'],"Pointing to the box , she said , ` Here is my greatest treasure , whose like is not to be found in the whole world .",,
['precious gold ring'],It is a precious gold ring .,,
['ring marriage gift'],"When you marry me , I will give you this ring as a marriage gift , and it will make you the happiest of mortal men .",,
['ring drops blood'],"But in order that our love may last for ever , you must give me for the ring three drops of blood from the little finger of your left hand . '",,
['words cold shudder'],"When the youth heard these words a cold shudder ran over him , for he remembered that his soul was at stake .",,
['cunning conceal feelings'],"He was cunning enough , however , to conceal his feelings and to make no direct answer , but he only asked the maiden , as if carelessly , what was remarkable about the ring ?",,
['secret signs engraved'],"She answered , ` No mortal is able entirely to understand the power of this ring , because no one thoroughly understands the secret signs engraved upon it .",,
['knowledge work great'],But even with my half-knowledge I can work great wonders .,,
['left hand fly'],"If I put the ring upon the little finger of my left hand , then I can fly like a bird through the air wherever I wish to go .",,
['hand invisible passes'],"If I put it on the third finger of my left hand I am invisible , and I can see everything that passes around me , though no one can see me .",,
['ring middle finger'],"If I put the ring upon the middle finger of my left hand , then neither fire nor water nor any sharp weapon can hurt me .",,
['forefinger left hand'],"If I put it on the forefinger of my left hand , then I can with its help produce whatever I wish .",,
['moment build houses'],I can in a single moment build houses or anything I desire .,,
['strong break rocks'],"Finally , as long as I wear the ring on the thumb of my left hand , that hand is so strong that it can break down rocks and walls .",,
['ring secret signs'],"Besides these , the ring has other secret signs which , as I said , no one can understand .",,
['secrets great importance'],No doubt it contains secrets of great importance .,,
['solomon wisest kings'],"The ring formerly belonged to King Solomon , the wisest of kings , during whose reign the wisest men lived .",,
['supposed angel gave'],But it is not known whether this ring was ever made by mortal hands : it is supposed that an angel gave it to the wise King . ',,
['believe wonderful gifts'],"When the youth heard all this he determined to try and get possession of the ring , though he did not quite believe in all its wonderful gifts .",,
['wished maiden let'],"He wished the maiden would let him have it in his hand , but he did not quite like to ask her to do so , and after a while she put it back into the box .",,
['magic ring youth'],"A few days after they were again speaking of the magic ring , and the youth said , ' I do not think it possible that the ring can have all the power you say it has . '",,
['like clearest sunbeam'],"Then the maiden opened the box and took the ring out , and it glittered as she held it like the clearest sunbeam .",,
['knife try hard'],"She put it on the middle finger of her left hand , and told the youth to take a knife and try as hard as he could to cut her with it , for he would not be able to hurt her .",,
['unwilling maiden insisted'],"He was unwilling at first , but the maiden insisted .",,
['play seriously strike'],"Then he tried , at first only in play , and then seriously , to strike her with the knife , but an invisible wall of iron seemed to be between them , and the maiden stood before him laughing and unhurt .",,
['instant vanished eyes'],"Then she put the ring on her third finger , and in an instant she had vanished from his eyes .",,
['laughing holding ring'],"Presently she was beside him again laughing , and holding the ring between her fingers .",,
['try said youth'],"` Do let me try , ' said the youth , ` whether I can do these wonderful things . '",,
['treachery gave magic'],"The maiden , suspecting no treachery , gave him the magic ring .",,
['youth pretended forgotten'],"The youth pretended to have forgotten what to do , and asked what finger he must put the ring on so that no sharp weapon could hurt him ? '",,
['left hand maiden'],"` Oh , the middle finger of your left hand , ' the maiden answered , laughing .",,
['knife tried strike'],"She took the knife and tried to strike the youth , and he even tried to cut himself with it , but found it impossible .",,
['rocks help ring'],Then he asked the maiden to show him how to split stones and rocks with the help of the ring .,,
['courtyard stood great'],So she led him into a courtyard where stood a great boulder-stone .,,
['ring thumb left'],"` Now , ' she said , ` put the ring upon the thumb of your left hand , and you will see how strong that hand has become .",,
['stone flew thousand'],"The youth did so , and found to his astonishment that with a single blow of his fist the stone flew into a thousand pieces .",,
['fool chance lost'],"Then the youth bethought him that he who does not use his luck when he has it is a fool , and that this was a chance which once lost might never return .",,
['laughing shattered stone'],"So while they stood laughing at the shattered stone he placed the ring , as if in play , upon the third finger of his left hand .",,
['said maiden invisible'],"` Now , ' said the maiden , ` you are invisible to me until you take the ring off again . '",,
['left hand soared'],"But the youth had no mind to do that ; on the contrary , he went farther off , then put the ring on the little finger of his left hand , and soared into the air like a bird .",,
['thought play cried'],"When the maiden saw him flying away she thought at first that he was still in play , and cried , ` Come back , friend , for now you see I have told you the truth . '",,
['young man came'],But the young man never came back .,,
['bitterly repented trusted'],"Then the maiden saw she was deceived , and bitterly repented that she had ever trusted him with the ring .",,
['magician taught speech'],The young man never halted in his flight until he reached the dwelling of the wise magician who had taught him the speech of birds .,,
['magician delighted search'],"The magician was delighted to find that his search had been successful , and at once set to work to interpret the secret signs engraved upon the ring , but it took him seven weeks to make them out clearly .",,
['instructions overcome dragon'],"Then he gave the youth the following instructions how to overcome the Dragon of the North : ` You must have an iron horse cast , which must have little wheels under each foot .",,
['ring left thumb'],"You must also be armed with a spear two fathoms long , which you will be able to wield by means of the magic ring upon your left thumb .",,
['spear middle large'],"The spear must be as thick in the middle as a large tree , and both its ends must be sharp .",,
['middle spear strong'],In the middle of the spear you must have two strong chains ten fathoms in length .,,
['dragon fast spear'],"As soon as the Dragon has made himself fast to the spear , which you must thrust through his jaws , you must spring quickly from the iron horse and fasten the ends of the chains firmly to the ground with iron stakes , so that he can not get away from them .",,
['strength far exhausted'],After two or three days the monster 's strength will be so far exhausted that you will be able to come near him .,,
['monster strike dead'],"Then you can put Solomon 's ring upon your left thumb and give him the finishing stroke , but keep the ring on your third finger until you have come close to him , so that the monster can not see you , else he might strike you dead with his long tail .",,
['ring takes cunning'],"But when all is done , take care you do not lose the ring , and that no one takes it from you by cunning . '",,
['thanked magician directions'],"The young man thanked the magician for his directions , and promised , should they succeed , to reward him .",,
['magician answered profited'],"But the magician answered , ' I have profited so much by the wisdom the ring has taught me that I desire no other reward . '",,
['quickly flew home'],"Then they parted , and the youth quickly flew home through the air .",,
['terrible dragon north'],"After remaining in his own home for some weeks , he heard people say that the terrible Dragon of the North was not far off , and might shortly be expected in the country .",,
['kingdom whosoever free'],"The King announced publicly that he would give his daughter in marriage , as well as a large part of his kingdom , to whosoever should free the country from the monster .",,
['subduing dragon king'],"The youth then went to the King and told him that he had good hopes of subduing the Dragon , if the King would grant him all he desired for the purpose .",,
['spear chains prepared'],"The King willingly agreed , and the iron horse , the great spear , and the chains were all prepared as the youth requested .",,
['strength means magic'],"When all was ready , it was found that the iron horse was so heavy that a hundred men could not move it from the spot , so the youth found there was nothing for it but to move it with his own strength by means of the magic ring .",,
['dragon near couple'],The Dragon was now so near that in a couple of springs he would be over the frontier .,,
['horse ride sorcerer'],"The youth now began to consider how he should act , for if he had to push the iron horse from behind he could not ride upon it as the sorcerer had said he must .",,
['raven unexpectedly gave'],"But a raven unexpectedly gave him this advice : ` Ride upon the horse , and push the spear against the ground , as if you were pushing off a boat from the land . '",,
['way easily forwards'],"The youth did so , and found that in this way he could easily move forwards .",,
['dragon monstrous jaws'],"The Dragon had his monstrous jaws wide open , all ready for his expected prey .",,
['nearer man horse'],"A few paces nearer , and man and horse would have been swallowed up by them !",,
